CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 0 31.617188 1570340029.6877
CHLD 1 100.695312 1570340029.6877
CHLD 2 930.472656 1570340029.6877
CHLD 3 443.542969 1570340029.6877
CHLD 4 169.246094 1570340029.6877
CHLD 5 85.671875 1570340029.6877
CHLD 6 141.992188 1570340029.6877
CHLD 7 383.339844 1570340029.6877
CHLD 8 99.000000 1570340029.6877
MEM 31.367188 1570340029.8213
CHLD 0 31.617188 1570340029.8243
CHLD 1 101.304688 1570340029.8243
CHLD 2 968.894531 1570340029.8243
CHLD 3 444.804688 1570340029.8243
CHLD 4 169.808594 1570340029.8253
CHLD 5 86.906250 1570340029.8253
CHLD 6 142.761719 1570340029.8253
CHLD 7 384.152344 1570340029.8253
CHLD 8 99.625000 1570340029.8253
MEM 31.367188 1570340029.9535
CHLD 0 31.617188 1570340029.9565
CHLD 1 102.187500 1570340029.9565
CHLD 2 1006.039062 1570340029.9565
CHLD 3 446.042969 1570340029.9565
CHLD 4 170.496094 1570340029.9565
CHLD 5 88.109375 1570340029.9565
CHLD 6 143.390625 1570340029.9565
CHLD 7 384.902344 1570340029.9565
CHLD 8 100.257812 1570340029.9565
MEM 31.367188 1570340030.0926
CHLD 0 31.617188 1570340030.0956
CHLD 1 102.824219 1570340030.0956
CHLD 2 1045.703125 1570340030.0956
CHLD 3 447.304688 1570340030.0956
CHLD 4 171.246094 1570340030.0956
CHLD 5 89.375000 1570340030.0956
CHLD 6 144.140625 1570340030.0956
CHLD 7 385.589844 1570340030.0956
CHLD 8 101.144531 1570340030.0956
MEM 31.367188 1570340030.2283
CHLD 0 31.617188 1570340030.2318
CHLD 1 103.457031 1570340030.2318
CHLD 2 1073.605469 1570340030.2318
CHLD 3 448.554688 1570340030.2318
CHLD 4 171.828125 1570340030.2318
CHLD 5 90.578125 1570340030.2318
CHLD 6 144.890625 1570340030.2318
CHLD 7 386.449219 1570340030.2318
CHLD 8 101.777344 1570340030.2318
MEM 31.367188 1570340030.3549
CHLD 0 31.617188 1570340030.3579
CHLD 1 104.089844 1570340030.3589
CHLD 2 1073.605469 1570340030.3589
CHLD 3 449.730469 1570340030.3589
CHLD 4 172.507812 1570340030.3589
CHLD 5 91.472656 1570340030.3589
CHLD 6 145.453125 1570340030.3589
CHLD 7 387.152344 1570340030.3589
CHLD 8 102.410156 1570340030.3589
MEM 31.367188 1570340030.4826
CHLD 0 31.617188 1570340030.4856
CHLD 1 104.914062 1570340030.4856
CHLD 2 1073.605469 1570340030.4856
CHLD 3 450.792969 1570340030.4856
CHLD 4 173.183594 1570340030.4856
CHLD 5 92.421875 1570340030.4856
CHLD 6 146.203125 1570340030.4856
CHLD 7 387.777344 1570340030.4856
CHLD 8 103.550781 1570340030.4856
MEM 31.367188 1570340030.6053
CHLD 0 31.617188 1570340030.6092
CHLD 1 105.250000 1570340030.6092
CHLD 2 1073.605469 1570340030.6092
CHLD 3 451.480469 1570340030.6092
