CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 2 116.847656 1570332470.2779
MEM 31.320312 1570332470.3782
CHLD 0 31.335938 1570332470.3812
CHLD 1 200.136719 1570332470.3812
CHLD 2 116.847656 1570332470.3812
MEM 31.320312 1570332470.4820
CHLD 0 31.335938 1570332470.4839
CHLD 1 200.324219 1570332470.4839
CHLD 2 116.863281 1570332470.4839
MEM 31.320312 1570332470.5845
CHLD 0 31.335938 1570332470.5865
CHLD 1 200.515625 1570332470.5865
CHLD 2 116.863281 1570332470.5865
MEM 31.320312 1570332470.6873
CHLD 0 31.335938 1570332470.6892
CHLD 1 200.699219 1570332470.6892
CHLD 2 116.863281 1570332470.6892
MEM 31.320312 1570332470.7900
CHLD 0 31.335938 1570332470.7920
CHLD 1 200.886719 1570332470.7920
CHLD 2 116.863281 1570332470.7920
MEM 31.320312 1570332470.8928
CHLD 0 31.335938 1570332470.8948
CHLD 1 201.019531 1570332470.8948
CHLD 2 116.863281 1570332470.8948
MEM 31.320312 1570332470.9956
CHLD 0 31.335938 1570332470.9976
CHLD 1 201.230469 1570332470.9976
CHLD 2 116.902344 1570332470.9976
MEM 31.320312 1570332471.0978
CHLD 0 31.335938 1570332471.0998
CHLD 1 201.417969 1570332471.0998
CHLD 2 116.910156 1570332471.0998
MEM 31.320312 1570332471.2008
CHLD 0 31.335938 1570332471.2028
CHLD 1 201.542969 1570332471.2028
CHLD 2 116.910156 1570332471.2028
MEM 31.320312 1570332471.3037
CHLD 0 31.335938 1570332471.3057
