CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 0 31.476562 1570332754.9564
CHLD 1 206.964844 1570332754.9564
CHLD 2 121.878906 1570332754.9564
MEM 31.421875 1570332755.0568
CHLD 0 31.476562 1570332755.0588
CHLD 1 207.218750 1570332755.0588
CHLD 2 121.878906 1570332755.0588
MEM 31.421875 1570332755.1593
CHLD 0 31.476562 1570332755.1613
CHLD 1 207.457031 1570332755.1613
CHLD 2 121.878906 1570332755.1623
MEM 31.421875 1570332755.2631
CHLD 0 31.476562 1570332755.2650
CHLD 1 207.707031 1570332755.2650
CHLD 2 121.878906 1570332755.2650
MEM 31.421875 1570332755.3658
CHLD 0 31.476562 1570332755.3678
CHLD 1 207.929688 1570332755.3678
CHLD 2 121.878906 1570332755.3678
MEM 31.421875 1570332755.4685
CHLD 0 31.476562 1570332755.4705
CHLD 1 208.179688 1570332755.4705
CHLD 2 121.878906 1570332755.4705
MEM 31.421875 1570332755.5713
CHLD 0 31.476562 1570332755.5743
CHLD 1 208.367188 1570332755.5743
CHLD 2 121.878906 1570332755.5743
MEM 31.421875 1570332755.6747
CHLD 0 31.476562 1570332755.6767
